wavelength,scan1-2,scan2-2,absorbance2,scan1-4,scan2-4,absorbance4
3603.57797,0.00247,0.00346,0.002965,0.00247,0.00288,0.002675
3601.51761,0.00255,0.00358,0.003065,0.00264,0.00305,0.002845
3599.45724,0.00251,0.0036,0.003055,0.00274,0.00323,0.002985
3597.39688,0.0024,0.00359,0.002995,0.00288,0.00349,0.003185
3595.33651,0.00237,0.00376,0.003065,0.00311,0.00363,0.00337
3593.27615,0.00245,0.00397,0.00321,0.00328,0.00367,0.003475
3591.21578,0.00261,0.00415,0.00338,0.00338,0.00379,0.003585
3589.15542,0.00294,0.0045,0.00372,0.00336,0.00387,0.003615
3587.09505,0.00322,0.00477,0.003995,0.00323,0.00375,0.00349
3585.03469,0.00321,0.00472,0.003965,0.00335,0.00374,0.003545
3582.97432,0.00323,0.00471,0.00397,0.00363,0.00395,0.00379
3580.91396,0.00346,0.00487,0.004165,0.00378,0.00417,0.003975
3578.85359,0.00375,0.00507,0.00441,0.00381,0.00432,0.004065
3576.79323,0.00386,0.0052,0.00453,0.00376,0.00434,0.00405
3574.73286,0.00374,0.00525,0.004495,0.00374,0.00438,0.00406
3572.6725,0.00364,0.00531,0.004475,0.00391,0.00466,0.004285
3570.61214,0.0038,0.0056,0.0047,0.00414,0.00506,0.0046
3568.55177,0.00419,0.00608,0.005135,0.00435,0.00531,0.00483
3566.49141,0.00455,0.00634,0.005445,0.00453,0.00526,0.004895
3564.43104,0.00475,0.0063,0.005525,0.00456,0.00509,0.004825
3562.37068,0.00488,0.00641,0.005645,0.00455,0.00522,0.004885
3560.31031,0.00483,0.00659,0.00571,0.0047,0.00558,0.00514
3558.24995,0.00467,0.00654,0.005605,0.00486,0.00576,0.00531
3556.18958,0.00464,0.00647,0.005555,0.00501,0.00583,0.00542
3554.12922,0.00481,0.00673,0.00577,0.0052,0.00603,0.005615
3552.06885,0.00516,0.00711,0.006135,0.00525,0.00617,0.00571
3550.00849,0.0054,0.00729,0.006345,0.00526,0.0062,0.00573
3547.94812,0.0055,0.00738,0.00644,0.00542,0.00638,0.0059
3545.88776,0.00573,0.00765,0.00669,0.00567,0.00666,0.006165
3543.82739,0.00589,0.00798,0.006935,0.00601,0.00693,0.00647
3541.76703,0.00585,0.0082,0.007025,0.00623,0.00717,0.0067
3539.70666,0.00593,0.00841,0.00717,0.00633,0.00736,0.006845
3537.6463,0.00619,0.00863,0.00741,0.00651,0.00766,0.007085
3535.58593,0.00635,0.00876,0.007555,0.00676,0.00793,0.007345
3533.52557,0.00641,0.0089,0.007655,0.00697,0.00794,0.007455
3531.4652,0.00663,0.00918,0.007905,0.00708,0.00788,0.00748
3529.40484,0.00692,0.00953,0.008225,0.00717,0.00813,0.00765
3527.34448,0.00704,0.00972,0.00838,0.00737,0.00855,0.00796
3525.28411,0.00708,0.00981,0.008445,0.0076,0.00872,0.00816
3523.22375,0.00725,0.00996,0.008605,0.0077,0.00872,0.00821
3521.16338,0.00745,0.01012,0.008785,0.00775,0.0088,0.008275
3519.10302,0.00754,0.01026,0.0089,0.0079,0.009,0.00845
3517.04265,0.00759,0.01043,0.00901,0.00809,0.00921,0.00865
3514.98229,0.0077,0.0106,0.00915,0.00827,0.00934,0.008805
3512.92192,0.00784,0.01081,0.009325,0.00851,0.00946,0.008985
3510.86156,0.00802,0.01113,0.009575,0.0087,0.00962,0.00916
3508.80119,0.00825,0.01132,0.009785,0.00874,0.00976,0.00925
3506.74083,0.00837,0.01132,0.009845,0.00876,0.00994,0.00935
3504.68046,0.00833,0.0114,0.009865,0.00887,0.01019,0.00953
3502.6201,0.00829,0.01165,0.00997,0.00904,0.01033,0.009685
3500.55973,0.00845,0.01193,0.01019,0.00918,0.01039,0.009785
3498.49937,0.0087,0.0121,0.0104,0.00923,0.01047,0.00985
3496.439,0.0089,0.01213,0.010515,0.00928,0.01057,0.009925
3494.37864,0.00909,0.01219,0.01064,0.0093,0.01064,0.00997
3492.31827,0.00916,0.01228,0.01072,0.00923,0.01061,0.00992
3490.25791,0.0091,0.01236,0.01073,0.00919,0.01054,0.009865
3488.19754,0.00903,0.01241,0.01072,0.00926,0.01071,0.009985
3486.13718,0.00899,0.01247,0.01073,0.00938,0.01104,0.01021
3484.07682,0.00911,0.01261,0.01086,0.00949,0.01118,0.010335
3482.01645,0.00926,0.01279,0.011025,0.00969,0.01125,0.01047
3479.95609,0.00918,0.01283,0.011005,0.00994,0.01135,0.010645
3477.89572,0.00911,0.01275,0.01093,0.01005,0.0114,0.010725
3475.83536,0.00927,0.01274,0.011005,0.01006,0.0115,0.01078
3473.77499,0.00942,0.01295,0.011185,0.01021,0.01178,0.010995
3471.71463,0.00936,0.01321,0.011285,0.01036,0.01191,0.011135
3469.65426,0.00934,0.01335,0.011345,0.0103,0.01181,0.011055
3467.5939,0.00953,0.01346,0.011495,0.01026,0.01182,0.01104
